id,listing_url,host_id,host_url,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
241032,https://www.airbnb.com/rooms/241032,956883,https://www.airbnb.com/users/show/956883,8/11/11,within a few hours,96%,100%,f,3,3,t,t,98119,47.63628904,-122.3710252,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,,85.00,,,,,2,$5.00 ,1,365,t,14,41,71,346,1/4/16,207,11/1/11,1/2/16,95,10,10,10,10,9,10,f,,WASHINGTON,f,moderate,f,f,2,4.07
953595,https://www.airbnb.com/rooms/953595,5177328,https://www.airbnb.com/users/show/5177328,2/21/13,within an hour,98%,100%,t,6,6,t,t,98119,47.63912312,-122.3656665,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,,150.00,1000.00,3000.00,100.00,40.00,1,$0.00 ,2,90,t,13,13,16,291,1/4/16,43,8/19/13,12/29/15,96,10,10,10,10,10,10,f,,WASHINGTON,f,strict,t,t,6,1.48
3308979,https://www.airbnb.com/rooms/3308979,16708587,https://www.airbnb.com/users/show/16708587,6/12/14,within a few hours,67%,100%,f,2,2,t,t,98119,47.62972413,-122.3694832,t,House,Entire home/apt,11,4.5,5,7,Real Bed,,975.00,,,1000.00,300.00,10,$25.00 ,4,30,t,1,6,17,220,1/4/16,20,7/30/14,9/3/15,97,10,10,10,10,10,10,f,,WASHINGTON,f,strict,f,f,2,1.15
7421966,https://www.airbnb.com/rooms/7421966,9851441,https://www.airbnb.com/users/show/9851441,11/6/13,N/A,N/A,N/A,f,1,1,t,t,98119,47.6384732,-122.3692791,t,Apartment,Entire home/apt,3,1,0,2,Real Bed,,100.00,650.00,2300.00,,,1,$0.00 ,1,1125,t,0,0,0,143,1/4/16,0,,,,,,,,,,f,,WASHINGTON,f,flexible,f,f,1,
278830,https://www.airbnb.com/rooms/278830,1452570,https://www.airbnb.com/users/show/1452570,11/29/11,within an hour,100%,N/A,f,2,2,t,t,98119,47.6329184,-122.3724706,t,House,Entire home/apt,6,2,3,3,Real Bed,,450.00,,,700.00,125.00,6,$15.00 ,1,1125,t,30,60,90,365,1/4/16,38,7/10/12,10/24/15,92,9,9,10,10,9,9,f,,WASHINGTON,f,strict,f,f,1,0.89
5956968,https://www.airbnb.com/rooms/5956968,326758,https://www.airbnb.com/users/show/326758,12/25/10,N/A,N/A,N/A,f,1,1,t,t,98119,47.63052548,-122.3661741,t,House,Private room,2,1,1,1,Real Bed,,120.00,800.00,,,40.00,1,$30.00 ,1,6,t,0,0,27,302,1/4/16,17,6/11/15,9/28/15,95,10,10,10,10,10,10,f,,WASHINGTON,f,strict,f,f,1,2.45
1909058,https://www.airbnb.com/rooms/1909058,2497928,https://www.airbnb.com/users/show/2497928,5/30/12,within an hour,100%,100%,t,1,1,t,t,98119,47.63660545,-122.3685191,t,House,Private room,2,1,1,1,Real Bed,,80.00,575.00,,150.00,,1,$10.00 ,3,14,t,20,49,71,346,1/4/16,58,1/27/14,12/7/15,99,10,10,10,10,10,10,f,,WASHINGTON,f,moderate,f,f,1,2.46
856550,https://www.airbnb.com/rooms/856550,4016632,https://www.airbnb.com/users/show/4016632,10/30/12,within an hour,100%,100%,t,5,5,t,t,98119,47.64016054,-122.375856,t,Cabin,Private room,2,1,1,1,Real Bed,,60.00,360.00,,150.00,25.00,1,$0.00 ,2,7,t,22,42,42,100,1/4/16,173,1/3/13,1/1/16,97,10,10,10,10,9,10,f,,WASHINGTON,f,strict,t,t,5,4.73
4948745,https://www.airbnb.com/rooms/4948745,2166277,https://www.airbnb.com/users/show/2166277,4/18/12,N/A,N/A,100%,f,1,1,t,t,98109,47.6324103,-122.3572161,t,Apartment,Private room,2,1,1,1,Real Bed,,90.00,500.00,1700.00,,,1,$0.00 ,3,1125,t,6,36,66,341,1/4/16,8,6/22/15,8/17/15,97,10,9,10,9,10,10,f,,WASHINGTON,f,strict,f,f,1,1.22
2493658,https://www.airbnb.com/rooms/2493658,5177328,https://www.airbnb.com/users/show/5177328,2/21/13,within an hour,98%,100%,t,6,6,t,t,98119,47.63749172,-122.3668886,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,,150.00,1000.00,3000.00,100.00,40.00,1,$0.00 ,2,365,t,6,19,49,324,1/4/16,32,4/27/14,12/20/15,97,10,10,10,10,10,9,f,,WASHINGTON,f,strict,t,t,6,1.55
